薬局等番号,都道府県,薬局等名称,住所,電話番号,販売可能薬剤師数_女性,販売可能薬剤師数_男性,販売可能薬剤師数_答えたくない,HP,開局時間,時間外対応の有無,時間外の電話番号,プライバシー確保策,事前連絡,備考,削除日,開局等時間,時間外対応,事前電話連絡,電話番号_数字,時間外の電話番号_数字,住所_正規化,住所_都道府県除く,市区町村_推定,住所_残り,時間外対応_有無,事前電話連絡_要否,データ時点,データ出典_URL,データファイル_URL
17304,栃木県,東邦薬局宇都宮野沢店,栃木県宇都宮市野沢町４５番地１,0286653421,1,0,0,,月水金：9:00-17:30、火木土：9:00-17:00,,,スタッフ休憩室;,要,,,月水金：9:00-17:30、火木土：9:00-17:00,,要,0286653421,,栃木県宇都宮市野沢町45番地1,宇都宮市野沢町45番地1,宇都宮市,野沢町45番地1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
17305,栃木県,フレンド薬局風ノ宮,栃木県宇都宮市錦１丁目５６５－６,0286668082,1,0,0,https://friend-pharmacy.co.jp/,月・火・木・金曜日9:00〜18:00、水曜日9:00〜17:00、土曜日9:00〜12:30,有,07044715835,衝立;,要,2026/9/3掲載,,月・火・木・金曜日9:00〜18:00、水曜日9:00〜17:00、土曜日9:00〜12:30,有,要,0286668082,07044715835,栃木県宇都宮市錦1丁目565-6,宇都宮市錦1丁目565-6,宇都宮市,錦1丁目565-6,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
17500,栃木県,日本調剤自治医大前薬局,栃木県下野市薬師寺３３１１－１,0285398913,5,1,0,https://www.nicho.co.jp/tenpo/jichiidaimae/,月～金：8:30-20:00、土：10:00-12:00,有,07026529352,個室;,,,,月～金：8:30-20:00、土：10:00-12:00,有,,0285398913,07026529352,栃木県下野市薬師寺3311-1,下野市薬師寺3311-1,下野市,薬師寺3311-1,True,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
17501,栃木県,しずく薬局,栃木県下野市小金井１-34‐7,0285400313,1,0,0,https://forhuman.jp/,月・水・木・金：9：00-18：00、火・土：9：00-12：30,有,0285400313,スタッフ休憩室;,要,,,月・水・木・金：9：00-18：00、火・土：9：00-12：30,有,要,0285400313,0285400313,栃木県下野市小金井1-34-7,下野市小金井1-34-7,下野市,小金井1-34-7,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
17502,栃木県,セイムスふじ薬局,栃木県下野市石橋968-8,0285522481,1,1,0,https://www.fujiyakuhin.co.jp,月～金：9:00-18:00、土：9:00-14:00,有,0285522481,衝立;,要,,,月～金：9:00-18:00、土：9:00-14:00,有,要,0285522481,0285522481,栃木県下野市石橋968-8,下野市石橋968-8,下野市,石橋968-8,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
17504,栃木県,さつき薬局貝島店,鹿沼市貝島町5006-3,0289745580,0,1,0,,月～水、金8:30~18:00、木8:30~16:30、土8:30~16:00,,,パーテーション;,,2026/9/3掲載,,月～水、金8:30~18:00、木8:30~16:30、土8:30~16:00,,,0289745580,,鹿沼市貝島町5006-3,鹿沼市貝島町5006-3,鹿沼市,貝島町5006-3,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
17836,栃木県,ピノキオファーマシーズ那須塩原店,栃木県那須塩原市大黒町4-22-2,0287745552,0,1,0,,月～土：9:00-18:00,有,0287-74-5552,衝立,要,,,月～土：9:00-18:00,有,要,0287745552,0287745552,栃木県那須塩原市大黒町4-22-2,那須塩原市大黒町4-22-2,那須塩原市,大黒町4-22-2,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
18009,栃木県,ユニスマイル薬局もおか店,栃木県真岡市下高間木1‐13‐7,0285803031,0,1,0,https://unismile.co.jp/shop/mooka/,【月・火・木】8:30～18:30【水】8:30～12:30【金】8:30～18:00【土】8:30～17:30,有,0285803031,衝立;他者のいない時間対応;スタッフ休憩室;,要,,,【月・火・木】8:30～18:30【水】8:30～12:30【金】8:30～18:00【土】8:30～17:30,有,要,0285803031,0285803031,栃木県真岡市下高間木1-13-7,真岡市下高間木1-13-7,真岡市,下高間木1-13-7,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
18195,栃木県,フレンド薬局,栃木県宇都宮市末広2丁目1-22,0286536904,0,1,0,,月～金9：00-18：00土9：00-12：30,有,090-4626-0260,衝立;,要,2026/9/3掲載,,月～金9：00-18：00土9：00-12：30,有,要,0286536904,09046260260,栃木県宇都宮市末広2丁目1-22,宇都宮市末広2丁目1-22,宇都宮市,末広2丁目1-22,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
18492,栃木県,フレンド羽川薬局,栃木県小山市羽川524-2,0285232240,1,0,0,https://f-pw.jp/,月～金：9：00～18：00、土：9：00～13：00,,,パーテーション;,要,2026/9/3掲載,,月～金：9：00～18：00、土：9：00～13：00,,要,0285232240,,栃木県小山市羽川524-2,小山市羽川524-2,小山市,羽川524-2,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
18493,栃木県,株式会社フレンド南部調剤薬局,栃木県小山市西城南2-18-10,0285286881,0,1,0,,月、火、木、金：8：30-18：00水、土：8：30-17：30,有,09054102140,スタッフ休憩室;パーテーション;,要,2026/9/3掲載,,月、火、木、金：8：30-18：00水、土：8：30-17：30,有,要,0285286881,09054102140,栃木県小山市西城南2-18-10,小山市西城南2-18-10,小山市,西城南2-18-10,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
18494,栃木県,フレンド薬局小山粟宮店,栃木県小山市粟宮927-8,0285379677,0,1,0,,月・水～土：9:00-18:30、火：9:00-18:00、日：9:00-16:30,有,09069790037,パーテーション;ドライブスルー;,要,2026/9/3掲載,,月・水～土：9:00-18:30、火：9:00-18:00、日：9:00-16:30,有,要,0285379677,09069790037,栃木県小山市粟宮927-8,小山市粟宮927-8,小山市,粟宮927-8,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
18495,栃木県,フレンド薬局自治医大駅前店,栃木県下野市医大前3-2-18,0285397601,0,1,0,https://f-pw.jp/,月～土：9:30-18:00,有,0285397601,衝立;,要,2026/9/3掲載,,月～土：9:30-18:00,有,要,0285397601,0285397601,栃木県下野市医大前3-2-18,下野市医大前3-2-18,下野市,医大前3-2-18,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
18496,栃木県,フレンド薬局下野笹原店,栃木県下野市笹原230-7,0285400360,2,0,0,,月・火・木・金9：00～18：30水・土9：00～18：00,,,衝立;,要,2026/9/3掲載,,月・火・木・金9：00～18：30水・土9：00～18：00,,要,0285400360,,栃木県下野市笹原230-7,下野市笹原230-7,下野市,笹原230-7,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
18497,栃木県,株式会社フレンドグリーンタウン調剤薬局,栃木県下野市祇園１－１３－６S･E･KBLD1階,0285440938,0,0,1,http://www.f-pw.jp/,月～土9:00～18:00,,,パーテーション;,要,2026/9/3掲載,,月～土9:00～18:00,,要,0285440938,,栃木県下野市祇園1-13-6S･E･KBLD1階,下野市祇園1-13-6S･E･KBLD1階,下野市,祇園1-13-6S･E･KBLD1階,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
18498,栃木県,株式会社フレンド本郷台調剤薬局,栃木県河内郡上三川町西汗1701-45,0285551371,1,0,0,,月、火、水、金：8:45～18:15、木、土：8:45～17:45,,,衝立;他者と十分な距離の確保;,,2026/9/3掲載,,月、火、水、金：8:45～18:15、木、土：8:45～17:45,,,0285551371,,栃木県河内郡上三川町西汗1701-45,河内郡上三川町西汗1701-45,河内郡上三川町,西汗1701-45,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
18612,栃木県,フレンド薬局自治医大東店,栃木県下野市薬師寺3171-27,0285401147,1,0,0,,月〜土9:00〜18:00,,,個室;衝立;,要,2026/9/3掲載,,月〜土9:00〜18:00,,要,0285401147,,栃木県下野市薬師寺3171-27,下野市薬師寺3171-27,下野市,薬師寺3171-27,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
19745,栃木県,カケル薬局大平店,栃木県栃木市大平町富田5210-6,0282217523,0,1,0,,月〜木：9:00-18:30金〜日、祝：9:00-17:30,有,070-2656-2818,スタッフ休憩室;他者のいない時間対応;,要,2026/9/3掲載,,月〜木：9:00-18:30金〜日、祝：9:00-17:30,有,要,0282217523,07026562818,栃木県栃木市大平町富田5210-6,栃木市大平町富田5210-6,栃木市,大平町富田5210-6,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
13,群馬県,アイン薬局伊勢崎はしえ店,,,0,0,0,,,,,,,,2026/6/16,,,,,,,,,,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
53,群馬県,みらい薬局,群馬県高崎市上並榎町４６－３,0273709311,0,1,0,https://mirai-yakkyoku.com/,月-金:9:00-19:00､土:9:00-14:00,有,0273709311,個室,,,,月-金:9:00-19:00､土:9:00-14:00,有,,0273709311,0273709311,群馬県高崎市上並榎町46-3,高崎市上並榎町46-3,高崎市,上並榎町46-3,True,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
54,群馬県,イオン薬局太田店,群馬県太田市石原町８１番地,0276483241,2,3,0,,9:00-20:00,有,08047108688,衝立,要,,,9:00-20:00,有,要,0276483241,08047108688,群馬県太田市石原町81番地,太田市石原町81番地,太田市,石原町81番地,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
75,群馬県,マルエ薬局草津温泉店,群馬県吾妻郡草津町草津４５４－４８,0279825891,2,3,0,,月-金:9:00-13:00､14:00-18:00,,,衝立,,,,月-金:9:00-13:00､14:00-18:00,,,0279825891,,群馬県吾妻郡草津町草津454-48,吾妻郡草津町草津454-48,吾妻郡草津町,草津454-48,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
81,群馬県,イオン薬局高崎駅前店,群馬県高崎市八島町４６－１高崎オーパ１階,0273102312,3,2,0,,10:00-20:00,,,衝立,要,,,10:00-20:00,,要,0273102312,,群馬県高崎市八島町46-1高崎オ-パ1階,高崎市八島町46-1高崎オ-パ1階,高崎市,八島町46-1高崎オ-パ1階,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
102,群馬県,かしのき薬局,群馬県高崎市町屋町字前田６２７番５,0273880211,1,0,0,https://www.kraft-net.co.jp/sakura/store/3896/,月､水､金:8:30-18:00､火､木､土:8:30-12:30,有,0273880211,個室；衝立,要,,,月､水､金:8:30-18:00､火､木､土:8:30-12:30,有,要,0273880211,0273880211,群馬県高崎市町屋町字前田627番5,高崎市町屋町字前田627番5,高崎市,町屋町字前田627番5,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
116,群馬県,いずみ薬局高崎店,群馬県高崎市島野町１４２３,0273501567,1,0,0,,月-水､金:9:00-18:30､木:9:00-18:00､土:9:00-16:30,有,0273501567,衝立,要,,,月-水､金:9:00-18:30､木:9:00-18:00､土:9:00-16:30,有,要,0273501567,0273501567,群馬県高崎市島野町1423,高崎市島野町1423,高崎市,島野町1423,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
155,群馬県,共創未来桐生東薬局,群馬県桐生市東５ー２ー１９,0277451300,2,0,0,https://phmirai.co.jp/store/69/,月水金:9:00-18:00､火木:9:00-17:00､土:9:00-13:00,有,0277451300,衝立,要,,,月水金:9:00-18:00､火木:9:00-17:00､土:9:00-13:00,有,要,0277451300,0277451300,群馬県桐生市東5-2-19,桐生市東5-2-19,桐生市,東5-2-19,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
629,群馬県,さくら薬局伊勢崎連取店,群馬県伊勢崎市連取本町１１番地５,0270508280,2,0,0,https://www.kraft-net.co.jp/sakura/store/4021/,月-金:9:00-18:00､土:9:00-13:00,有,0270508280,衝立；他者のいない時間対応,要,,,月-金:9:00-18:00､土:9:00-13:00,有,要,0270508280,0270508280,群馬県伊勢崎市連取本町11番地5,伊勢崎市連取本町11番地5,伊勢崎市,連取本町11番地5,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
735,群馬県,マルエ薬局榛東店,群馬県北群馬郡榛東村新井２２２２ー１,0279269414,3,4,0,https://marue-drug.co.jp,月-土:9:00-13:00､14:00-18:00,,,衝立,要,,,月-土:9:00-13:00､14:00-18:00,,要,0279269414,,群馬県北群馬郡榛東村新井2222-1,北群馬郡榛東村新井2222-1,北群馬郡榛東村,新井2222-1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
758,群馬県,マルエ薬局前橋天川原店,群馬県前橋市天川原町１ー２１ー１,0272896262,1,3,0,https://marue-drug.co.jp,月-金:9:00-19:00､土:9:00-13:0014:00-18:00,,,衝立,要,,,月-金:9:00-19:00､土:9:00-13:0014:00-18:00,,要,0272896262,,群馬県前橋市天川原町1-21-1,前橋市天川原町1-21-1,前橋市,天川原町1-21-1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
761,群馬県,ユニスマイル薬局藪塚店,群馬県太田市藪塚町１５０７－１,0277790790,1,0,0,https://unismile.co.jp,月･火･木･金:9:00-18:00水･土:9:00-13:00,有,0277790790,他者のいない時間対応,要,,,月･火･木･金:9:00-18:00水･土:9:00-13:00,有,要,0277790790,0277790790,群馬県太田市藪塚町1507-1,太田市藪塚町1507-1,太田市,藪塚町1507-1,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
765,群馬県,マルエ薬局高崎箕郷店,群馬県高崎市箕郷町上芝１８５ー２,0273607550,6,2,0,https://marue-drug.co.jp,月-土:9:00-18:00,,,衝立,要,,,月-土:9:00-18:00,,要,0273607550,,群馬県高崎市箕郷町上芝185-2,高崎市箕郷町上芝185-2,高崎市,箕郷町上芝185-2,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
768,群馬県,マルエ薬局前橋プラザ元気２１店,群馬県前橋市本町２－１２－１前橋プラザ元気２１地下１階,0272266190,1,3,0,https://marue-drug.co.jp,"月-金:10:00-13:00,14:00-19:00",,,衝立,要,,,"月-金:10:00-13:00,14:00-19:00",,要,0272266190,,群馬県前橋市本町2-12-1前橋プラザ元気21地下1階,前橋市本町2-12-1前橋プラザ元気21地下1階,前橋市,本町2-12-1前橋プラザ元気21地下1階,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
773,群馬県,マルエ薬局昭和店,群馬県伊勢崎市昭和町１８８６－１,0270279577,2,2,0,https://marue-drug.co.jp,月-金:9:00-13:00､14:00-18:00,,,衝立,要,,,月-金:9:00-13:00､14:00-18:00,,要,0270279577,,群馬県伊勢崎市昭和町1886-1,伊勢崎市昭和町1886-1,伊勢崎市,昭和町1886-1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
776,群馬県,マルエ薬局箱田店,群馬県前橋市箱田町２３－１,0272123645,1,3,0,https://marue-drug.co.jp,"月-金:9:00-13:00,14:00-18:00",,,衝立,要,,,"月-金:9:00-13:00,14:00-18:00",,要,0272123645,,群馬県前橋市箱田町23-1,前橋市箱田町23-1,前橋市,箱田町23-1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
791,群馬県,マルエ薬局前橋西片貝店,群馬県前橋市西片貝町１丁目２９５番地１７,0272266961,2,1,0,https://marue-drug.co.jp,月-土:9:00-13:00､14:00-18:00,,,衝立,要,,,月-土:9:00-13:00､14:00-18:00,,要,0272266961,,群馬県前橋市西片貝町1丁目295番地17,前橋市西片貝町1丁目295番地17,前橋市,西片貝町1丁目295番地17,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
808,群馬県,マルエ薬局桐生東店,群馬県桐生市東１－６－２８,0277476771,0,3,0,https://marue-drug.co.jp,月-金:9:00-13:00､14:00-18:00,,,衝立,要,,,月-金:9:00-13:00､14:00-18:00,,要,0277476771,,群馬県桐生市東1-6-28,桐生市東1-6-28,桐生市,東1-6-28,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
833,群馬県,マルエ薬局高崎下小鳥店,群馬県高崎市２０７番地,0273864525,2,4,0,https://marue-drug.co.jp,月-金:9:00-13:0014:00-18:30土:9:00-13:00,,,衝立,要,,,月-金:9:00-13:0014:00-18:30土:9:00-13:00,,要,0273864525,,群馬県高崎市207番地,高崎市207番地,高崎市,207番地,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
836,群馬県,マルエ薬局川原店,群馬県前橋市川原町１ー４９ー７,0272308000,8,2,0,https://marue-drug.co.jp,月-水･金:8:00-19:00､木:9:00-18:00､土:8:00-18:00,有,0272308000,衝立,要,,,月-水･金:8:00-19:00､木:9:00-18:00､土:8:00-18:00,有,要,0272308000,0272308000,群馬県前橋市川原町1-49-7,前橋市川原町1-49-7,前橋市,川原町1-49-7,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
838,群馬県,マルエ薬局中之条店,群馬県吾妻郡中之条町大字伊勢町１６－５,0279262951,1,1,0,https://marue-drug.co.jp,月-金:9:00-13:0014:00-18:00,,,衝立,要,,,月-金:9:00-13:0014:00-18:00,,要,0279262951,,群馬県吾妻郡中之条町大字伊勢町16-5,吾妻郡中之条町大字伊勢町16-5,吾妻郡中之条町,大字伊勢町16-5,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
846,群馬県,マルエ薬局ショッピングタウン川原店,群馬県前橋市川原町２ー４ー９,0272893047,5,2,0,https://marue-drug.co.jp,月-土:9:00-18:00,,,衝立,要,,,月-土:9:00-18:00,,要,0272893047,,群馬県前橋市川原町2-4-9,前橋市川原町2-4-9,前橋市,川原町2-4-9,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
853,群馬県,マルエ薬局高崎小八木店,群馬県高崎市小八木町２０３６ー５,0273706767,6,2,0,https://marue-drug.co.jp,月-金:9:00-19:30､土:9:00-18:00,有,0273706767,衝立,要,,,月-金:9:00-19:30､土:9:00-18:00,有,要,0273706767,0273706767,群馬県高崎市小八木町2036-5,高崎市小八木町2036-5,高崎市,小八木町2036-5,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
872,群馬県,マルエ薬局高崎榛名中里見店,群馬県高崎市中里見町１７３－１,0273862301,1,1,0,https://marue-drug.co.jp,月-金:9:00-13:0014:00-18:30､土:9:00-13:00,,,衝立,要,,,月-金:9:00-13:0014:00-18:30､土:9:00-13:00,,要,0273862301,,群馬県高崎市中里見町173-1,高崎市中里見町173-1,高崎市,中里見町173-1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
873,群馬県,マルエ薬局前橋朝倉店,群馬県前橋市朝倉町１６１－１,0272125705,3,2,0,https://marue-drug.co.jp,月･水･金･土:9:00-18:00､火･木:9:00-19:00,,,衝立,要,,,月･水･金･土:9:00-18:00､火･木:9:00-19:00,,要,0272125705,,群馬県前橋市朝倉町161-1,前橋市朝倉町161-1,前橋市,朝倉町161-1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
935,群馬県,さくら薬局高崎筑縄店,群馬県高崎市筑縄町７０－４,0273641581,1,0,0,http://www.kraft-net.co.jp,月-金:9:00-18:00､土:9:00-13:00,有,0273641581,衝立,要,,,月-金:9:00-18:00､土:9:00-13:00,有,要,0273641581,0273641581,群馬県高崎市筑縄町70-4,高崎市筑縄町70-4,高崎市,筑縄町70-4,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
998,群馬県,マルエ薬局並榎店,群馬県高崎市上並榎町８８－１,0273862405,3,2,0,https://marue-drug.co.jp,月-金:9:00‐18:30､土:9:00‐13:00,,,衝立,要,,,月-金:9:00‐18:30､土:9:00‐13:00,,要,0273862405,,群馬県高崎市上並榎町88-1,高崎市上並榎町88-1,高崎市,上並榎町88-1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
1078,群馬県,共創未来カトレア薬局,群馬県桐生市本町４－３２３,0277472281,0,1,0,https://phmirai.co.jp/store/64/,月-金:9:00-18:00､土:9:00-13:00,有,0277472281,衝立,,,,月-金:9:00-18:00､土:9:00-13:00,有,,0277472281,0277472281,群馬県桐生市本町4-323,桐生市本町4-323,桐生市,本町4-323,True,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
1081,群馬県,マルエ薬局吉井店,群馬県高崎市吉井町池５,0273870685,1,3,0,https://marue-drug.co.jp,月-金:9:00-13:0014:00-18:00,,,衝立,要,,,月-金:9:00-13:0014:00-18:00,,要,0273870685,,群馬県高崎市吉井町池5,高崎市吉井町池5,高崎市,吉井町池5,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
1114,群馬県,前橋中央薬局,群馬県前橋市上佐鳥町６７ー２,0272893193,2,1,0,,月-金:8:30-18:00､土:8:30-12:30,有,0272893193,個室；衝立,要,,,月-金:8:30-18:00､土:8:30-12:30,有,要,0272893193,0272893193,群馬県前橋市上佐鳥町67-2,前橋市上佐鳥町67-2,前橋市,上佐鳥町67-2,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
1134,群馬県,いずみ薬局仙石店,群馬県邑楽郡大泉町仙石２－１６－６,0276200226,1,0,0,,"月‐金:9:00-18:00､水:8:30-16:30,土:9:00-12:00",有,0276200226,個室,要,,,"月‐金:9:00-18:00､水:8:30-16:30,土:9:00-12:00",有,要,0276200226,0276200226,群馬県邑楽郡大泉町仙石2-16-6,邑楽郡大泉町仙石2-16-6,邑楽郡大泉町,仙石2-16-6,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
1151,群馬県,マルエ薬局高崎棟高バイパス店,群馬県高崎市棟高町１６７５－３４,0273863203,2,3,0,https://marue-drug.co.jp,月-金:9:00-13:0014:00-19:00､土:9:00-13:00,,,衝立,要,,,月-金:9:00-13:0014:00-19:00､土:9:00-13:00,,要,0273863203,,群馬県高崎市棟高町1675-34,高崎市棟高町1675-34,高崎市,棟高町1675-34,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
1189,群馬県,いずみ薬局金古店,群馬県高崎市金古町５２－５,0273950023,1,0,0,http://izumi-group.com/,月火木金9:00-18:30水8:30-16:30土8:30-13:00,有,0273950023,他者のいない時間対応,要,,,月火木金9:00-18:30水8:30-16:30土8:30-13:00,有,要,0273950023,0273950023,群馬県高崎市金古町52-5,高崎市金古町52-5,高崎市,金古町52-5,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
1191,群馬県,マルエ薬局安中杉並木店,群馬県安中市原市５８７－６,0273936942,2,2,0,https://marue-drug.co.jp/,月～金　9：00～13：00、14:00～18：00,,,衝立,要,,,月～金 9：00～13：00、14:00～18：00,,要,0273936942,,群馬県安中市原市587-6,安中市原市587-6,安中市,原市587-6,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
1207,群馬県,ユニスマイル薬局ほんまち店,群馬県太田市大原町５３６－１８,0277788716,2,0,0,,月･火･水･金:9:00-18:00木:14:00-17:30土:9:00-12:30,,,個室,要,,,月･火･水･金:9:00-18:00木:14:00-17:30土:9:00-12:30,,要,0277788716,,群馬県太田市大原町536-18,太田市大原町536-18,太田市,大原町536-18,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
