薬局等番号,都道府県,市区町村_推定,薬局等名称,住所_正規化,住所,住所_都道府県除く,住所_残り,電話番号_数字,電話番号,HP,開局等時間,時間外対応,時間外対応_有無,時間外の電話番号_数字,時間外の電話番号,プライバシー確保策,事前電話連絡,事前電話連絡_要否,販売可能薬剤師数_女性,販売可能薬剤師数_男性,販売可能薬剤師数_答えたくない,備考,削除日,データ時点,データ出典_URL,データファイル_URL,検索用
656,徳島県,小松島市,あおぞら薬局中田店,徳島県小松島市中田町字広見1-87,徳島県小松島市中田町字広見１ー８７,小松島市中田町字広見1-87,中田町字広見1-87,0885386663,0885386663,,月火木金:9:00-18:00水:9:00-17:00土:9:00-12:30,有,True,0885386663,0885386663,衝立,要,True,2,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,徳島県 小松島市 あおぞら薬局中田店 徳島県小松島市中田町字広見1-87 0885386663
657,愛知県,名古屋市北区,あおい薬局名古屋北店,愛知県名古屋市北区如意4-101-2,愛知県名古屋市北区如意４－１０１－２,名古屋市北区如意4-101-2,如意4-101-2,0529826322,0529826322,,月火水金:9:00-19:00木:8:00-16:00土:9:00-12:00,有,True,0529826322,0529826322,衝立；他者のいない時間対応,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,愛知県 名古屋市北区 あおい薬局名古屋北店 愛知県名古屋市北区如意4-101-2 0529826322
658,兵庫県,西宮市,あらき薬局,兵庫県西宮市荒木町16-7,兵庫県西宮市荒木町１６－７,西宮市荒木町16-7,荒木町16-7,0798671600,0798671600,,月:9:00-18:30､火:9:00-18:30､水:9:00-17:00､木:9:00-18:30､金:9:00-18:30､土:9:00-18:00,,False,,,他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 西宮市 あらき薬局 兵庫県西宮市荒木町16-7 0798671600
659,神奈川県,座間市,さくら薬局座間相模が丘店,神奈川県座間市相模が丘6-28-1,神奈川県座間市相模が丘６－２８－１,座間市相模が丘6-28-1,相模が丘6-28-1,0462560010,0462560010,https://www.kraft-net.co.jp/sakura/store/3423/,月-金:9:00-19:00､土:9:00-14:00,有,True,0462560010,0462560010,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 座間市 さくら薬局座間相模が丘店 神奈川県座間市相模が丘6-28-1 0462560010 https://www.kraft-net.co.jp/sakura/store/3423/
660,大阪府,箕面市,さくら薬局箕面西小路店,大阪府箕面市西小路3-17-36,大阪府箕面市西小路３－１７－３６,箕面市西小路3-17-36,西小路3-17-36,0727357260,0727357260,https://www.kraft-net.co.jp/sakura/store/3811/,月､水､金:9:00-19:00､火､木:9:00-17:00､土:9:00-13:00,,False,,,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 箕面市 さくら薬局箕面西小路店 大阪府箕面市西小路3-17-36 0727357260 https://www.kraft-net.co.jp/sakura/store/3811/
661,神奈川県,厚木市,ハニー薬局,神奈川県厚木市妻田北3-1-10,神奈川県厚木市妻田北３ー１ー１０,厚木市妻田北3-1-10,妻田北3-1-10,0462218805,0462218805,,月-金:9:00-18:00､土:9:00-15:00,有,True,0462218805,0462218805,個室,,False,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 厚木市 ハニー薬局 神奈川県厚木市妻田北3-1-10 0462218805
663,静岡県,静岡市清水区,マハロ薬局,静岡県静岡市清水区木の下町44-3,静岡県静岡市清水区木の下町４４ー３,静岡市清水区木の下町44-3,木の下町44-3,0543462121,0543462121,,月-水:9:00-18:00､木:12:00-20:00､金:9:00-20:00､土:9:00-13:00,有,True,09095631249,09095631249,個室,要,True,2,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 静岡市清水区 マハロ薬局 静岡県静岡市清水区木の下町44-3 0543462121
664,山梨県,中巨摩郡昭和町,ウエルシア薬局甲府昭和店,山梨県中巨摩郡昭和町飯喰1132-2,山梨県中巨摩郡昭和町飯喰１１３２ー２,中巨摩郡昭和町飯喰1132-2,飯喰1132-2,0552686260,0552686260,https://www.welcia-yakkyoku.co.jp/,月-土:9:00-19:00,,False,,,衝立,,False,2,3,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,山梨県 中巨摩郡昭和町 ウエルシア薬局甲府昭和店 山梨県中巨摩郡昭和町飯喰1132-2 0552686260 https://www.welcia-yakkyoku.co.jp/
665,兵庫県,神戸市須磨区,せせらぎ薬局,兵庫県神戸市須磨区前池町3丁目2-2村上ビル1Ｆ,兵庫県神戸市須磨区前池町３丁目２－２村上ビル１Ｆ,神戸市須磨区前池町3丁目2-2村上ビル1Ｆ,前池町3丁目2-2村上ビル1Ｆ,0787347234,0787347234,,月火木金9:00-18:00水土9:00-12:00日祝休み,有,True,0787347234,0787347234,個室；衝立；他者のいない時間対応,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 神戸市須磨区 せせらぎ薬局 兵庫県神戸市須磨区前池町3丁目2-2村上ビル1Ｆ 0787347234
666,静岡県,島田市,六合ひがし薬局,静岡県島田市東町227-6,静岡県島田市東町２２７－６,島田市東町227-6,東町227-6,0547332020,0547332020,,月､火､木､金:8:30-18:00､水8:00-16:00､土:8:30-12:30,有,True,0547332020,0547332020,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 島田市 六合ひがし薬局 静岡県島田市東町227-6 0547332020
667,宮城県,仙台市泉区,つばさ薬局泉店,宮城県仙台市泉区長命ヶ丘2丁目2-19,宮城県仙台市泉区長命ヶ丘２丁目２ー１９,仙台市泉区長命ヶ丘2丁目2-19,長命ヶ丘2丁目2-19,0227721571,0227721571,http://www.tsubasa-ph.co.jp/,月-水･金:8:30-18:00､木:8:30-19:30､土:8:30-12:30,,False,,,衝立,,False,2,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮城県 仙台市泉区 つばさ薬局泉店 宮城県仙台市泉区長命ヶ丘2丁目2-19 0227721571 http://www.tsubasa-ph.co.jp/
668,兵庫県,洲本市,イオン薬局洲本店,兵庫県洲本市塩屋1-1-8,兵庫県洲本市塩屋１－１－８,洲本市塩屋1-1-8,塩屋1-1-8,0799232168,0799232168,,年中無休:09:00-22:00,有,True,08043413364,08043413364,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 洲本市 イオン薬局洲本店 兵庫県洲本市塩屋1-1-8 0799232168
669,宮城県,仙台市若林区,アイベル薬局荒井店,宮城県仙台市若林区長喜城字山神45番12,宮城県仙台市若林区長喜城字山神４５番１２,仙台市若林区長喜城字山神45番12,長喜城字山神45番12,0227949617,0227949617,https://suzumedi.com/,月-金:9:00-18:00､土:9:00-17:00,有,True,0227949617,0227949617,衝立；他者のいない時間対応,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮城県 仙台市若林区 アイベル薬局荒井店 宮城県仙台市若林区長喜城字山神45番12 0227949617 https://suzumedi.com/
670,山梨県,南アルプス市,ウエルシア薬局南アルプス西南湖店,山梨県南アルプス市西南湖793-1,山梨県南アルプス市西南湖７９３ー１,南アルプス市西南湖793-1,西南湖793-1,0552808030,0552808030,https://www.welcia-yakkyoku.co.jp/,月-金:9:00-13:00･14:00-18:30､土:9:00-13:00,,False,,,衝立,,False,,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,山梨県 南アルプス市 ウエルシア薬局南アルプス西南湖店 山梨県南アルプス市西南湖793-1 0552808030 https://www.welcia-yakkyoku.co.jp/
671,静岡県,湖西市,ドリーム薬局しんじょはら店,静岡県湖西市新所原2-5-23,静岡県湖西市新所原２ー５ー２３,湖西市新所原2-5-23,新所原2-5-23,0535770710,0535770710,http://www.camel-dream.com,月-水､金:9:55-18:45､土:9:55-18:30,,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 湖西市 ドリーム薬局しんじょはら店 静岡県湖西市新所原2-5-23 0535770710 http://www.camel-dream.com
672,宮城県,岩沼市,調剤薬局ツルハドラッグ岩沼中央店,宮城県岩沼市中央2丁目5番22号,宮城県岩沼市中央２丁目５番２２号,岩沼市中央2丁目5番22号,中央2丁目5番22号,0223356835,0223356835,https://shop.tsuruha-g.com/1034,月-金:9:30-18:30､土:9:30-13:30,,False,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮城県 岩沼市 調剤薬局ツルハドラッグ岩沼中央店 宮城県岩沼市中央2丁目5番22号 0223356835 https://shop.tsuruha-g.com/1034
674,石川県,小松市,中森かいてき園町薬局,石川県小松市園町ホ140-1,石川県小松市園町ホ１４０ー１,小松市園町ホ140-1,園町ホ140-1,0761211831,0761211831,https://kaiteki-01.jp/,月､火､水､金:9:00-18:30､土:9:00-18:00,有,True,08046333685,08046333685,衝立,要,True,2,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,石川県 小松市 中森かいてき園町薬局 石川県小松市園町ホ140-1 0761211831 https://kaiteki-01.jp/
675,静岡県,焼津市,中里薬局,静岡県焼津市中里70-1,静岡県焼津市中里７０－１,焼津市中里70-1,中里70-1,0546264700,0546264700,,月-金:9:00-18:00､土:9:00-12:30,有,True,09035831835,09035831835,他者のいない時間対応,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 焼津市 中里薬局 静岡県焼津市中里70-1 0546264700
676,岡山県,久米郡久米南町,Ｅ薬局久米南店,岡山県久米郡久米南町下弓削389-2,岡山県久米郡久米南町下弓削３８９ー２,久米郡久米南町下弓削389-2,下弓削389-2,0867289077,0867289077,https://mo4mo4.com/,月-金:9:00-17:30､土:9:00-13:00,有,True,09089938931,09089938931,衝立；他者のいない時間対応,要,True,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,岡山県 久米郡久米南町 Ｅ薬局久米南店 岡山県久米郡久米南町下弓削389-2 0867289077 https://mo4mo4.com/
677,新潟県,上越市大潟区,ウエルシア薬局上越大潟店,新潟県上越市大潟区下小船津浜1165-16,新潟県上越市大潟区下小船津浜１１６５ー１６,上越市大潟区下小船津浜1165-16,下小船津浜1165-16,0255355025,0255355025,https://store.welcia.co.jp/welcia/spot/detail?code=103D,月-土:9:00-14:00､15:00-19:00,有,True,08049399253,08049399253,衝立,,False,,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 上越市大潟区 ウエルシア薬局上越大潟店 新潟県上越市大潟区下小船津浜1165-16 0255355025 https://store.welcia.co.jp/welcia/spot/detail?code=103D
678,青森県,八戸市,ハッピー調剤薬局八戸田向店,青森県八戸市田向二丁目12番8号,青森県八戸市田向二丁目１２番８号,八戸市田向二丁目12番8号,田向二丁目12番8号,0178738338,0178738338,https://store.welcia.co.jp/welcia/spot/detail?code=4838D&category=04,月-金:9:00-18:00､土:9:00-13:00,,False,,,衝立,,False,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,青森県 八戸市 ハッピー調剤薬局八戸田向店 青森県八戸市田向二丁目12番8号 0178738338 https://store.welcia.co.jp/welcia/spot/detail?code=4838D&category=04
679,長野県,佐久市,ウエルシア薬局佐久野沢店,長野県佐久市野沢下木戸248-1,長野県佐久市野沢下木戸２４８ー１,佐久市野沢下木戸248-1,野沢下木戸248-1,0267646068,0267646068,https://store.welcia.co.jp/welcia/spot/detail?code=6174D,月-金:9:00-19:00､土:9:00-18:00,有,True,08035903414,08035903414,衝立,要,True,,4,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,長野県 佐久市 ウエルシア薬局佐久野沢店 長野県佐久市野沢下木戸248-1 0267646068 https://store.welcia.co.jp/welcia/spot/detail?code=6174D
680,愛知県,名古屋市緑区,あおい薬局徳重店,愛知県名古屋市緑区乗鞍一丁目1705番地,愛知県名古屋市緑区乗鞍一丁目１７０５番地,名古屋市緑区乗鞍一丁目1705番地,乗鞍一丁目1705番地,0528780770,0528780770,,月･火･木･金:9:00‐19:00､水:8:00‐16:00､土9:00‐12:00,有,True,0528780770,0528780770,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,愛知県 名古屋市緑区 あおい薬局徳重店 愛知県名古屋市緑区乗鞍一丁目1705番地 0528780770
681,新潟県,十日町市,ウエルシア薬局十日町下川原町店,新潟県十日町市西本町3-235-2,新潟県十日町市西本町３－２３５－２,十日町市西本町3-235-2,西本町3-235-2,0257505051,0257505051,https://store.welcia.co.jp/welcia/spot/detail?code=153D,月-金:9:00-14:00､15:00-18:00,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 十日町市 ウエルシア薬局十日町下川原町店 新潟県十日町市西本町3-235-2 0257505051 https://store.welcia.co.jp/welcia/spot/detail?code=153D
682,神奈川県,平塚市,みずほ薬局,神奈川県平塚市北金目2-36-16,神奈川県平塚市北金目２－３６－１６,平塚市北金目2-36-16,北金目2-36-16,0463503240,0463503240,,月-水､金:9:00-18:00､木:9:00-17:00､土:9:00-13:00,有,True,0463503240,0463503240,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 平塚市 みずほ薬局 神奈川県平塚市北金目2-36-16 0463503240
683,長野県,小諸市,さくら薬局長野小諸店,長野県小諸市与良3-5-4,長野県小諸市与良３－５－４,小諸市与良3-5-4,与良3-5-4,0267262677,0267262677,,月-金:9:00-13:00,有,True,0267262677,0267262677,他者のいない時間対応,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,長野県 小諸市 さくら薬局長野小諸店 長野県小諸市与良3-5-4 0267262677
684,山梨県,笛吹市,ウエルシア薬局石和市部店,山梨県笛吹市石和町市部1090-1,山梨県笛吹市石和町市部１０９０ー１,笛吹市石和町市部1090-1,石和町市部1090-1,0552618755,0552618755,https://www.welcia-yakkyoku.co.jp/,月-金:9:00-20:00､土:9:00-19:00,,False,,,衝立,,False,4,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,山梨県 笛吹市 ウエルシア薬局石和市部店 山梨県笛吹市石和町市部1090-1 0552618755 https://www.welcia-yakkyoku.co.jp/
685,兵庫県,宝塚市,調剤薬局ファーマシー逆瀬川,兵庫県宝塚市伊孑志3丁目8-15,兵庫県宝塚市伊孑志３丁目８－１５,宝塚市伊孑志3丁目8-15,伊孑志3丁目8-15,0797735670,0797735670,https://www.medical-box.co.jp/store_011,月火金:9:00-19:30､水木:9:00-17:00､土:9:00-14:00,有,True,09010735670,09010735670,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 宝塚市 調剤薬局ファーマシー逆瀬川 兵庫県宝塚市伊孑志3丁目8-15 0797735670 https://www.medical-box.co.jp/store_011
686,兵庫県,芦屋市,南宮薬局,兵庫県芦屋市南宮町6-22-103,兵庫県芦屋市南宮町６－２２－１０３,芦屋市南宮町6-22-103,南宮町6-22-103,0797616610,0797616610,,月水木金土:9:00-18:00､火9-17,,False,,,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 芦屋市 南宮薬局 兵庫県芦屋市南宮町6-22-103 0797616610
687,福島県,福島市,ウエルシア薬局福島大森店,福島県福島市大森堂ノ裏62,福島県福島市大森堂ノ裏６２,福島市大森堂ノ裏62,大森堂ノ裏62,0245440301,0245440301,https://store.welcia.co.jp/welcia/spot/detail?code=6305D,月-金:9:30-17:30､土:9:30-13:30,,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 福島市 ウエルシア薬局福島大森店 福島県福島市大森堂ノ裏62 0245440301 https://store.welcia.co.jp/welcia/spot/detail?code=6305D
689,静岡県,駿河区,わかくさ薬局東静岡店,静岡県駿河区曲金6-10-14,静岡県駿河区曲金６－１０－１４,駿河区曲金6-10-14,曲金6-10-14,0542891313,0542891313,http://www.stcy.co.jp/wakakusa/higashishizuoka.htm,月-金:9:00-18:00､土:8:00-17:00,有,True,08026605799,08026605799,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 駿河区 わかくさ薬局東静岡店 静岡県駿河区曲金6-10-14 0542891313 http://www.stcy.co.jp/wakakusa/higashishizuoka.htm
690,愛知県,半田市,あおい薬局半田店,愛知県半田市有楽町6-161-2,愛知県半田市有楽町６－１６１－２,半田市有楽町6-161-2,有楽町6-161-2,0569478071,0569478071,,月火木金:9:00-19:00､水:9:00-17:00､土:9:00-13:00,有,True,0569478071,0569478071,個室,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,愛知県 半田市 あおい薬局半田店 愛知県半田市有楽町6-161-2 0569478071
691,石川県,白山市,アイン薬局松任店,石川県白山市平松町74-2,石川県白山市平松町７４－２,白山市平松町74-2,平松町74-2,0762766913,0762766913,http://www.ainj.co.jp/,月-金:9:00-18:00､土:8:30-12:30,有,True,0762766913,0762766913,他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,石川県 白山市 アイン薬局松任店 石川県白山市平松町74-2 0762766913 http://www.ainj.co.jp/
692,福島県,会津若松市,アイン薬局湯川店,福島県会津若松市湯川町1-54,福島県会津若松市湯川町１ー５４,会津若松市湯川町1-54,湯川町1-54,0242382588,0242382588,http://www.ainj.co.,月-金､第3土曜:8:30-18:00､第3土曜以外:8:30-12:30,有,True,09088411463,09088411463,衝立,,False,,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 会津若松市 アイン薬局湯川店 福島県会津若松市湯川町1-54 0242382588 http://www.ainj.co.
693,神奈川県,川崎市高津区,アイン薬局新作店,神奈川県川崎市高津区新作4丁目12-6ＦＭビル1Ｆ,神奈川県川崎市高津区新作４丁目１２－６ＦＭビル１Ｆ,川崎市高津区新作4丁目12-6ＦＭビル1Ｆ,新作4丁目12-6ＦＭビル1Ｆ,0448777472,0448777472,,月-金:9:00-18:00､土日:9:00-12:30,有,True,0448777472,0448777472,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 川崎市高津区 アイン薬局新作店 神奈川県川崎市高津区新作4丁目12-6ＦＭビル1Ｆ 0448777472
694,東京都,世田谷区,さくら薬局東北沢店,東京都世田谷区北沢3丁目2番3号1Ｂ,東京都世田谷区北沢３丁目２番３号１Ｂ,世田谷区北沢3丁目2番3号1Ｂ,北沢3丁目2番3号1Ｂ,0368047063,0368047063,,月火木金9:00-18:30､水:9:00-18:00､土:9:00-13:00,有,True,0368047063,0368047063,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,東京都 世田谷区 さくら薬局東北沢店 東京都世田谷区北沢3丁目2番3号1Ｂ 0368047063
695,兵庫県,西宮市,ワカバ薬局,兵庫県西宮市建石町6-5,兵庫県西宮市建石町６－５,西宮市建石町6-5,建石町6-5,0798362341,0798362341,,月･火･木･金:9:00-19:30､水:9:00-17:00､土:9:00-12:30,有,True,08037697101,08037697101,個室；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 西宮市 ワカバ薬局 兵庫県西宮市建石町6-5 0798362341
696,和歌山県,伊都郡かつらぎ町,さくら薬局伊都笠田東店,和歌山県伊都郡かつらぎ町笠田東174-4,和歌山県伊都郡かつらぎ町笠田東１７４－４,伊都郡かつらぎ町笠田東174-4,笠田東174-4,0736232037,0736232037,,月-水･金:8:30-19:00､木:8:30-16:30､土:8:30-13:00,有,True,0736232037,0736232037(転送),衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,和歌山県 伊都郡かつらぎ町 さくら薬局伊都笠田東店 和歌山県伊都郡かつらぎ町笠田東174-4 0736232037
697,兵庫県,神戸市灘区,アイン薬局六甲店,兵庫県神戸市灘区桜丘町3-23,兵庫県神戸市灘区桜丘町３－２３,神戸市灘区桜丘町3-23,桜丘町3-23,0788578006,0788578006,https://store.ainj.co.jp/detail/1100405/,月-金9:00-18:00土9:00-13:00,有,True,0788578006,0788578006,他者のいない時間対応,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 神戸市灘区 アイン薬局六甲店 兵庫県神戸市灘区桜丘町3-23 0788578006 https://store.ainj.co.jp/detail/1100405/
698,兵庫県,神戸市北区,ウエルシア薬局神戸山の街店,兵庫県神戸市北区山の街1-2,兵庫県神戸市北区山の街１－２,神戸市北区山の街1-2,山の街1-2,0789049385,0789049385,https://store.welcia.co.jp/welcia/spot/detail?code=3590D,"月-金:9:30-14:00,15:00-18:30",,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 神戸市北区 ウエルシア薬局神戸山の街店 兵庫県神戸市北区山の街1-2 0789049385 https://store.welcia.co.jp/welcia/spot/detail?code=3590D
699,静岡県,浜松市中央区,アイリス薬局,静岡県浜松市中央区西伊場町58-17,静岡県浜松市中央区西伊場町５８ー１７,浜松市中央区西伊場町58-17,西伊場町58-17,0534529990,0534529990,,月-金:9:00-19:00､土:9:00-13:00,有,True,0534529990,0534529990,衝立,要,True,2,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 浜松市中央区 アイリス薬局 静岡県浜松市中央区西伊場町58-17 0534529990
701,滋賀県,栗東市,ドリーム薬局手原店,滋賀県栗東市手原3-11-4,滋賀県栗東市手原３－１１－４,栗東市手原3-11-4,手原3-11-4,0775513510,0775513510,https://www.kyodoplan.co.jp/store/,月火･木金:9:00-19:00､水:9:00-17:00､土:9:00-12:00､16:30-19:00,,False,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,滋賀県 栗東市 ドリーム薬局手原店 滋賀県栗東市手原3-11-4 0775513510 https://www.kyodoplan.co.jp/store/
702,福島県,本宮市,ウエルシア薬局福島本宮店,福島県本宮市本宮字舘町194,福島県本宮市本宮字舘町１９４,本宮市本宮字舘町194,本宮字舘町194,0243631623,0243631623,https://www.welcia-yakkyoku.co.jp/,月-金:9:00-19:00､土:9:00-18:00,有,True,08072027186,08072027186,衝立,要,True,1,3,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 本宮市 ウエルシア薬局福島本宮店 福島県本宮市本宮字舘町194 0243631623 https://www.welcia-yakkyoku.co.jp/
703,静岡県,掛川市,このみ薬局掛川インター店,静岡県掛川市矢崎町3-7,静岡県掛川市矢崎町３－７,掛川市矢崎町3-7,矢崎町3-7,0537610055,0537610055,,月､火､木､金:8:30-18:30水:8:30-16:30土:8:30-12:30,有,True,0537610055,0537610055,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 掛川市 このみ薬局掛川インター店 静岡県掛川市矢崎町3-7 0537610055
704,神奈川県,横浜市港北区,平安薬局新横浜店,神奈川県横浜市港北区新横浜1-11-5,神奈川県横浜市港北区新横浜１－１１－５,横浜市港北区新横浜1-11-5,新横浜1-11-5,0454705635,0454705635,https://taijyu-inc.jp,月-金:9:00-18:00､土:13:00-17:00,有,True,09091308377,09091308377,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 横浜市港北区 平安薬局新横浜店 神奈川県横浜市港北区新横浜1-11-5 0454705635 https://taijyu-inc.jp
